,Two_yr_Recidivism,Number_of_Priors,score_factor,Female,Misdemeanor,Age,Race
1077,0,4,0,0,0,Age_Above_FourtyFive,
1078,0,1,1,0,0,Age_Above_FourtyFive,Hispanic
1079,0,1,0,0,0,Age_Below_TwentyFive,African_American
1080,0,0,1,0,1,Age_Below_TwentyFive,African_American
1081,1,1,0,0,0,Age_Below_TwentyFive,Other
1082,1,1,0,0,1,Age_Below_TwentyFive,
1083,0,1,0,0,0,Age_Above_FourtyFive,Hispanic
1084,1,1,0,0,1,Age_Below_TwentyFive,Hispanic
1085,0,0,0,0,1,Age_Below_TwentyFive,
1086,1,2,1,0,0,Age_Below_TwentyFive,
1087,1,5,1,1,0,Age_Below_TwentyFive,African_American
1088,0,0,1,0,0,Age_Below_TwentyFive,Hispanic
1089,0,1,0,1,0,Age_Below_TwentyFive,African_American
1090,0,0,0,0,0,Age_Below_TwentyFive,Other
1091,0,2,1,0,0,Age_Below_TwentyFive,African_American
1092,0,0,0,0,1,Age_Above_FourtyFive,
1093,0,1,0,0,0,Age_Below_TwentyFive,African_American
1094,0,2,0,0,0,Age_Below_TwentyFive,Asian
1095,1,6,1,0,0,Age_Below_TwentyFive,
1096,0,0,0,0,1,Age_Above_FourtyFive,Asian
1097,0,0,0,0,0,Age_Below_TwentyFive,African_American
1098,0,4,0,0,1,Age_Above_FourtyFive,
1099,1,7,0,0,0,Age_Above_FourtyFive,African_American
1100,1,0,1,0,0,Age_Below_TwentyFive,
1101,1,7,1,0,1,Age_Below_TwentyFive,
1102,1,7,0,0,0,Age_Above_FourtyFive,
1103,0,0,0,0,1,Age_Below_TwentyFive,African_American
1104,0,12,1,0,1,Age_Above_FourtyFive,
1105,1,0,1,0,0,Age_Below_TwentyFive,African_American
1106,1,4,0,0,1,Age_Below_TwentyFive,African_American
1107,0,0,0,0,1,Age_Below_TwentyFive,African_American
1108,0,0,0,0,1,Age_Below_TwentyFive,
1109,0,11,1,0,1,Age_Below_TwentyFive,Hispanic
1110,0,0,0,0,1,Age_Above_FourtyFive,Other
1111,0,5,1,1,0,Age_Above_FourtyFive,
1112,1,4,0,0,0,Age_Below_TwentyFive,African_American
1113,1,0,1,0,0,Age_Below_TwentyFive,African_American
1114,0,2,0,0,0,Age_Below_TwentyFive,African_American
1115,0,2,0,0,0,Age_Below_TwentyFive,
1116,1,0,0,0,0,Age_Below_TwentyFive,African_American
1117,0,0,0,0,1,Age_Below_TwentyFive,African_American
1118,0,4,0,0,0,Age_Below_TwentyFive,Other
1119,0,3,0,0,0,Age_Below_TwentyFive,Hispanic
1120,0,4,0,1,0,Age_Above_FourtyFive,African_American
1121,0,0,0,0,1,Age_Below_TwentyFive,Other
1122,0,1,0,1,1,Age_Below_TwentyFive,
1123,1,2,1,0,0,Age_Below_TwentyFive,African_American
1124,1,0,1,0,0,Age_Below_TwentyFive,
1125,0,2,0,0,0,Age_Below_TwentyFive,
1126,0,0,1,0,1,Age_Below_TwentyFive,African_American
1127,0,0,0,0,0,Age_Below_TwentyFive,
1128,0,6,1,0,0,Age_Below_TwentyFive,African_American
1129,0,6,0,0,0,Age_Below_TwentyFive,African_American
1130,1,15,1,0,0,Age_Below_TwentyFive,African_American
1131,1,0,1,0,0,Age_Below_TwentyFive,African_American
1132,0,0,0,0,0,Age_Below_TwentyFive,Hispanic
1133,1,1,0,0,0,Age_Below_TwentyFive,African_American
1134,0,1,0,0,0,Age_Above_FourtyFive,African_American
1135,0,1,1,0,0,Age_Below_TwentyFive,Hispanic
1136,1,8,1,0,0,Age_Above_FourtyFive,African_American
1137,0,2,0,0,1,Age_Below_TwentyFive,
1138,0,6,0,0,0,Age_Below_TwentyFive,
1139,0,0,0,0,0,Age_Below_TwentyFive,African_American
1140,0,2,1,0,1,Age_Below_TwentyFive,African_American
1141,1,11,1,0,1,Age_Below_TwentyFive,African_American
1142,0,0,0,0,1,Age_Above_FourtyFive,Other
1143,0,0,1,1,1,Age_Below_TwentyFive,
1144,1,7,1,0,0,Age_Below_TwentyFive,African_American
1145,0,1,1,0,1,Age_Below_TwentyFive,African_American
1146,1,4,1,0,0,Age_Below_TwentyFive,
1147,0,3,0,0,1,Age_Below_TwentyFive,African_American
1148,1,2,1,0,0,Age_Below_TwentyFive,African_American
1149,1,1,1,0,1,Age_Below_TwentyFive,African_American
1150,0,0,0,0,0,Age_Below_TwentyFive,African_American
1151,0,0,0,1,1,Age_Below_TwentyFive,African_American
1152,0,0,0,1,1,Age_Below_TwentyFive,
1153,0,1,0,0,1,Age_Below_TwentyFive,African_American
1154,0,0,0,0,0,Age_Above_FourtyFive,
1155,1,17,1,0,0,Age_Above_FourtyFive,
1156,0,0,0,1,1,Age_Above_FourtyFive,
1157,0,1,0,1,0,Age_Below_TwentyFive,African_American
1158,0,0,0,0,1,Age_Below_TwentyFive,
1159,1,10,0,0,0,Age_Below_TwentyFive,
1160,1,2,0,0,0,Age_Below_TwentyFive,African_American
1161,0,1,0,0,0,Age_Above_FourtyFive,Hispanic
1162,1,0,1,0,0,Age_Below_TwentyFive,African_American
1163,0,0,1,0,0,Age_Below_TwentyFive,Hispanic
1164,0,0,1,0,0,Age_Below_TwentyFive,
1165,0,3,1,0,0,Age_Below_TwentyFive,African_American
1166,0,0,0,0,1,Age_Below_TwentyFive,African_American
1167,1,2,1,0,0,Age_Below_TwentyFive,African_American
1168,0,0,0,0,1,Age_Below_TwentyFive,
1169,0,2,1,0,0,Age_Below_TwentyFive,African_American
1170,0,4,0,1,0,Age_Below_TwentyFive,African_American
1171,1,1,1,0,1,Age_Below_TwentyFive,
1172,0,7,0,0,1,Age_Below_TwentyFive,
1173,1,3,0,0,0,Age_Below_TwentyFive,African_American
1174,0,0,0,0,0,Age_Below_TwentyFive,African_American
1175,1,2,0,0,1,Age_Above_FourtyFive,
1176,0,0,1,0,0,Age_Below_TwentyFive,African_American
1177,1,4,0,0,0,Age_Above_FourtyFive,Other
1178,1,5,0,0,0,Age_Below_TwentyFive,Other
1179,0,1,1,0,1,Age_Below_TwentyFive,African_American
1180,1,19,1,0,0,Age_Below_TwentyFive,African_American
1181,0,1,0,1,0,Age_Above_FourtyFive,
1182,1,0,0,0,0,Age_Below_TwentyFive,
1183,1,0,0,1,0,Age_Below_TwentyFive,
1184,0,0,0,0,0,Age_Below_TwentyFive,African_American
1185,1,14,1,1,0,Age_Below_TwentyFive,African_American
1186,1,0,0,0,0,Age_Below_TwentyFive,African_American
1187,1,3,1,0,0,Age_Below_TwentyFive,African_American
1188,1,2,0,0,1,Age_Below_TwentyFive,
1189,0,2,0,1,0,Age_Below_TwentyFive,African_American
1190,1,3,1,0,0,Age_Below_TwentyFive,African_American
1191,0,0,1,0,0,Age_Below_TwentyFive,Other
1192,1,1,1,0,0,Age_Above_FourtyFive,
1193,1,1,0,1,1,Age_Below_TwentyFive,African_American
1194,0,2,0,0,1,Age_Above_FourtyFive,
1195,0,0,0,0,1,Age_Below_TwentyFive,
1196,0,0,0,1,1,Age_Below_TwentyFive,African_American
1197,0,0,0,0,0,Age_Below_TwentyFive,
1198,1,0,0,0,1,Age_Above_FourtyFive,African_American
1199,1,8,1,1,0,Age_Below_TwentyFive,African_American
1200,0,0,0,0,1,Age_Below_TwentyFive,Hispanic
1201,0,1,0,0,0,Age_Below_TwentyFive,
1202,0,1,1,0,0,Age_Below_TwentyFive,African_American
1203,0,1,1,0,0,Age_Below_TwentyFive,African_American
1204,1,1,0,0,1,Age_Below_TwentyFive,
1205,1,3,0,0,0,Age_Below_TwentyFive,African_American
1206,0,9,0,0,1,Age_Above_FourtyFive,African_American
1207,1,1,0,0,0,Age_Below_TwentyFive,Other
1208,1,20,1,0,0,Age_Below_TwentyFive,African_American
1209,1,1,1,1,0,Age_Below_TwentyFive,African_American
1210,0,0,0,0,1,Age_Below_TwentyFive,African_American
1211,1,5,1,0,1,Age_Below_TwentyFive,
1212,1,1,0,0,0,Age_Below_TwentyFive,
1213,1,0,0,0,1,Age_Below_TwentyFive,African_American
1214,1,6,0,1,0,Age_Below_TwentyFive,
1215,0,2,0,1,1,Age_Below_TwentyFive,African_American
1216,1,8,1,0,0,Age_Below_TwentyFive,African_American
1217,0,4,0,0,1,Age_Above_FourtyFive,African_American
1218,0,1,0,0,0,Age_Above_FourtyFive,
1219,0,2,0,1,0,Age_Above_FourtyFive,
1220,0,0,1,1,1,Age_Below_TwentyFive,African_American
1221,0,2,1,0,1,Age_Below_TwentyFive,African_American
1222,1,9,1,0,0,Age_Above_FourtyFive,African_American
1223,1,2,1,0,0,Age_Below_TwentyFive,African_American
1224,1,3,0,0,0,Age_Below_TwentyFive,Hispanic
1225,1,5,1,0,0,Age_Below_TwentyFive,African_American
1226,1,3,1,0,0,Age_Below_TwentyFive,African_American
1227,0,2,0,0,0,Age_Below_TwentyFive,African_American
1228,0,3,0,0,0,Age_Below_TwentyFive,
1229,0,1,0,1,1,Age_Below_TwentyFive,African_American
1230,1,15,0,0,1,Age_Above_FourtyFive,African_American
1231,1,3,0,0,1,Age_Above_FourtyFive,
1232,0,3,0,0,1,Age_Above_FourtyFive,African_American
1233,0,2,0,0,0,Age_Above_FourtyFive,Other
1234,0,1,1,1,0,Age_Below_TwentyFive,
1235,1,2,1,0,1,Age_Below_TwentyFive,
1236,1,3,0,0,0,Age_Below_TwentyFive,African_American
1237,1,12,1,0,1,Age_Below_TwentyFive,African_American
1238,1,3,1,0,0,Age_Below_TwentyFive,
1239,0,3,0,0,0,Age_Above_FourtyFive,Hispanic
1240,0,6,1,0,0,Age_Below_TwentyFive,
1241,1,4,0,0,0,Age_Below_TwentyFive,African_American
1242,0,4,1,0,0,Age_Below_TwentyFive,African_American
1243,0,7,1,1,1,Age_Below_TwentyFive,
1244,1,5,1,0,0,Age_Below_TwentyFive,African_American
1245,0,1,1,1,0,Age_Above_FourtyFive,
1246,0,1,1,0,0,Age_Below_TwentyFive,African_American
1247,1,6,1,0,0,Age_Below_TwentyFive,African_American
1248,0,1,1,1,0,Age_Below_TwentyFive,African_American
1249,1,15,1,0,0,Age_Below_TwentyFive,African_American
1250,0,1,0,0,1,Age_Below_TwentyFive,Other
1251,0,0,0,0,0,Age_Above_FourtyFive,
1252,1,0,1,1,0,Age_Below_TwentyFive,
1253,0,5,0,0,0,Age_Below_TwentyFive,African_American
1254,0,1,0,1,0,Age_Above_FourtyFive,African_American
1255,1,0,0,0,1,Age_Below_TwentyFive,African_American
1256,0,2,0,0,0,Age_Below_TwentyFive,Native_American
1257,0,5,1,1,0,Age_Below_TwentyFive,
1258,1,14,0,0,1,Age_Above_FourtyFive,
1259,0,6,0,0,1,Age_Below_TwentyFive,Other
1260,1,5,1,0,1,Age_Below_TwentyFive,
1261,1,0,0,0,1,Age_Above_FourtyFive,
1262,0,2,1,0,1,Age_Below_TwentyFive,African_American
1263,1,0,0,0,1,Age_Below_TwentyFive,Hispanic
1264,1,8,1,0,1,Age_Below_TwentyFive,African_American
1265,0,0,0,0,1,Age_Below_TwentyFive,
1266,0,7,0,0,0,Age_Below_TwentyFive,African_American
1267,0,2,0,0,1,Age_Below_TwentyFive,Hispanic
1268,1,12,1,0,1,Age_Below_TwentyFive,African_American
1269,1,3,1,1,1,Age_Below_TwentyFive,
1270,1,1,0,0,0,Age_Below_TwentyFive,African_American
1271,0,1,0,0,1,Age_Above_FourtyFive,
1272,0,0,0,0,0,Age_Below_TwentyFive,
1273,0,0,0,0,0,Age_Below_TwentyFive,
1274,0,0,0,0,0,Age_Below_TwentyFive,
1275,1,5,1,0,0,Age_Below_TwentyFive,
1276,1,4,1,0,0,Age_Below_TwentyFive,
1277,1,13,1,0,0,Age_Above_FourtyFive,
1278,0,0,0,1,1,Age_Below_TwentyFive,
1279,0,1,0,0,1,Age_Above_FourtyFive,
1280,0,11,1,0,1,Age_Above_FourtyFive,
1281,1,0,1,1,0,Age_Below_TwentyFive,Hispanic
1282,0,3,0,0,0,Age_Below_TwentyFive,African_American
1283,1,2,0,0,0,Age_Below_TwentyFive,Other
1284,0,0,0,0,1,Age_Above_FourtyFive,
1285,1,6,1,0,0,Age_Below_TwentyFive,African_American
1286,1,0,1,0,0,Age_Below_TwentyFive,
1287,1,0,0,1,0,Age_Below_TwentyFive,African_American
1288,1,7,1,0,1,Age_Below_TwentyFive,African_American
1289,0,15,1,0,0,Age_Below_TwentyFive,African_American
1290,1,0,0,0,1,Age_Below_TwentyFive,Hispanic
1291,0,12,1,0,0,Age_Below_TwentyFive,African_American
1292,1,14,1,0,0,Age_Above_FourtyFive,African_American
1293,0,0,0,0,1,Age_Below_TwentyFive,Asian
1294,1,14,1,0,0,Age_Below_TwentyFive,African_American
1295,0,0,0,0,0,Age_Above_FourtyFive,
1296,1,1,0,0,0,Age_Below_TwentyFive,Hispanic
1297,1,4,1,0,0,Age_Below_TwentyFive,African_American
1298,1,2,1,0,0,Age_Below_TwentyFive,African_American
1299,0,0,0,0,1,Age_Above_FourtyFive,Hispanic
1300,0,11,1,1,0,Age_Below_TwentyFive,African_American
1301,0,3,0,0,0,Age_Above_FourtyFive,
1302,1,2,1,1,1,Age_Below_TwentyFive,African_American
1303,0,3,1,0,0,Age_Above_FourtyFive,African_American
1304,1,7,1,0,1,Age_Below_TwentyFive,African_American
1305,0,0,0,0,1,Age_Above_FourtyFive,African_American
1306,0,0,0,0,1,Age_Above_FourtyFive,
1307,1,0,0,0,0,Age_Below_TwentyFive,African_American
1308,1,0,0,0,1,Age_Below_TwentyFive,African_American
1309,1,6,0,0,0,Age_Above_FourtyFive,
1310,1,2,0,1,1,Age_Above_FourtyFive,
1311,0,5,0,0,0,Age_Below_TwentyFive,
1312,0,1,0,0,0,Age_Above_FourtyFive,
1313,0,0,0,0,1,Age_Below_TwentyFive,Hispanic
1314,0,0,0,1,1,Age_Below_TwentyFive,African_American
1315,0,2,0,0,1,Age_Below_TwentyFive,
1316,0,0,1,0,0,Age_Above_FourtyFive,African_American
1317,0,0,0,0,1,Age_Below_TwentyFive,African_American
1318,1,14,1,0,0,Age_Below_TwentyFive,African_American
1319,1,1,0,0,0,Age_Above_FourtyFive,Hispanic
1320,1,24,1,0,0,Age_Above_FourtyFive,African_American
1321,0,0,0,0,0,Age_Below_TwentyFive,Other
1322,1,2,1,1,0,Age_Below_TwentyFive,African_American
1323,1,0,0,0,1,Age_Below_TwentyFive,African_American
1324,1,0,1,0,0,Age_Below_TwentyFive,
1325,0,0,1,0,0,Age_Below_TwentyFive,Other
1326,0,3,0,0,1,Age_Below_TwentyFive,African_American
1327,1,15,1,0,0,Age_Below_TwentyFive,African_American
1328,1,10,0,0,0,Age_Below_TwentyFive,African_American
1329,0,0,0,0,0,Age_Below_TwentyFive,African_American
1330,1,2,1,0,0,Age_Below_TwentyFive,
1331,0,0,0,1,1,Age_Above_FourtyFive,
1332,0,1,0,1,0,Age_Above_FourtyFive,
1333,1,2,1,0,1,Age_Below_TwentyFive,Hispanic
1334,0,11,1,0,0,Age_Below_TwentyFive,African_American
1335,0,2,0,0,1,Age_Below_TwentyFive,African_American
1336,1,15,1,0,0,Age_Above_FourtyFive,African_American
1337,0,0,0,1,0,Age_Below_TwentyFive,African_American
1338,0,1,0,1,0,Age_Above_FourtyFive,African_American
1339,1,0,1,0,0,Age_Below_TwentyFive,Hispanic
1340,0,1,0,1,1,Age_Above_FourtyFive,
1341,0,2,0,1,1,Age_Below_TwentyFive,Hispanic
1342,0,6,1,1,0,Age_Below_TwentyFive,African_American
1343,0,6,0,0,0,Age_Below_TwentyFive,
1344,0,1,0,0,1,Age_Above_FourtyFive,Hispanic
1345,0,0,0,0,0,Age_Above_FourtyFive,
1346,1,0,0,0,1,Age_Below_TwentyFive,
1347,0,1,0,0,0,Age_Below_TwentyFive,African_American
1348,1,11,1,0,0,Age_Below_TwentyFive,
1349,1,9,1,0,0,Age_Below_TwentyFive,African_American
1350,0,1,0,0,0,Age_Below_TwentyFive,
1351,1,8,0,0,0,Age_Above_FourtyFive,African_American
1352,0,0,0,1,0,Age_Below_TwentyFive,
1353,0,0,0,0,0,Age_Below_TwentyFive,African_American
1354,0,0,0,0,1,Age_Above_FourtyFive,Asian
1355,0,0,0,0,0,Age_Below_TwentyFive,Other
1356,1,8,1,0,0,Age_Below_TwentyFive,African_American
1357,0,3,1,0,0,Age_Below_TwentyFive,Other
1358,0,2,1,0,1,Age_Above_FourtyFive,African_American
1359,1,5,1,0,0,Age_Below_TwentyFive,African_American
1360,1,0,0,0,0,Age_Below_TwentyFive,
1361,1,0,1,0,0,Age_Below_TwentyFive,African_American
1362,0,0,0,0,1,Age_Above_FourtyFive,
1363,1,5,1,1,1,Age_Above_FourtyFive,
1364,0,1,0,0,0,Age_Below_TwentyFive,Other
1365,0,9,1,0,0,Age_Below_TwentyFive,
1366,0,0,0,0,1,Age_Below_TwentyFive,Other
1367,0,0,1,0,0,Age_Below_TwentyFive,African_American
1368,1,3,0,0,0,Age_Above_FourtyFive,
1369,0,12,1,0,0,Age_Above_FourtyFive,African_American
1370,0,2,1,0,0,Age_Below_TwentyFive,African_American
1371,0,6,1,0,0,Age_Below_TwentyFive,African_American
1372,1,8,1,0,0,Age_Above_FourtyFive,African_American
1373,0,1,0,0,0,Age_Above_FourtyFive,Other
1374,1,13,1,0,0,Age_Below_TwentyFive,African_American
1375,1,9,1,0,0,Age_Below_TwentyFive,
1376,0,0,0,0,0,Age_Below_TwentyFive,African_American
1377,1,8,1,0,1,Age_Below_TwentyFive,African_American
1378,0,1,0,0,0,Age_Below_TwentyFive,African_American
1379,0,0,0,0,1,Age_Below_TwentyFive,African_American
1380,0,0,0,0,1,Age_Above_FourtyFive,
1381,0,2,0,1,0,Age_Below_TwentyFive,African_American
1382,0,7,1,1,1,Age_Below_TwentyFive,
1383,1,1,1,0,0,Age_Below_TwentyFive,African_American
1384,1,0,0,1,1,Age_Above_FourtyFive,
1385,0,0,1,0,0,Age_Below_TwentyFive,Hispanic
1386,1,8,1,0,0,Age_Below_TwentyFive,African_American
1387,1,6,1,1,0,Age_Below_TwentyFive,
1388,1,2,1,1,0,Age_Below_TwentyFive,African_American
1389,0,0,1,0,0,Age_Below_TwentyFive,
1390,0,2,0,0,0,Age_Above_FourtyFive,Other
1391,0,2,0,0,1,Age_Above_FourtyFive,
1392,1,3,1,0,0,Age_Above_FourtyFive,
1393,0,0,0,0,0,Age_Below_TwentyFive,African_American
1394,0,0,0,0,0,Age_Above_FourtyFive,Hispanic
1395,1,7,1,1,0,Age_Below_TwentyFive,African_American
1396,1,0,0,0,1,Age_Below_TwentyFive,
1397,0,5,1,0,1,Age_Below_TwentyFive,African_American
1398,1,1,1,0,0,Age_Below_TwentyFive,African_American
1399,0,2,0,0,1,Age_Below_TwentyFive,Hispanic
1400,1,21,1,0,0,Age_Below_TwentyFive,African_American
1401,1,13,1,0,0,Age_Below_TwentyFive,African_American
1402,1,23,1,0,0,Age_Below_TwentyFive,African_American
1403,0,11,1,0,0,Age_Below_TwentyFive,African_American
1404,0,1,0,0,0,Age_Below_TwentyFive,African_American
1405,1,24,1,0,0,Age_Below_TwentyFive,African_American
1406,0,1,1,1,0,Age_Below_TwentyFive,African_American
1407,0,19,0,0,0,Age_Above_FourtyFive,African_American
1408,0,0,1,0,1,Age_Below_TwentyFive,Other
1409,0,0,0,0,0,Age_Below_TwentyFive,
1410,0,0,0,0,1,Age_Above_FourtyFive,
1411,1,0,0,0,1,Age_Below_TwentyFive,African_American
1412,1,0,1,0,0,Age_Below_TwentyFive,African_American
1413,0,6,1,0,1,Age_Below_TwentyFive,African_American
1414,1,0,1,0,1,Age_Below_TwentyFive,
1415,1,1,0,0,0,Age_Above_FourtyFive,
1416,0,27,1,0,1,Age_Above_FourtyFive,African_American
1417,0,0,0,1,1,Age_Below_TwentyFive,African_American
1418,0,1,0,0,1,Age_Above_FourtyFive,
1419,0,0,0,0,0,Age_Below_TwentyFive,
1420,0,1,0,0,0,Age_Above_FourtyFive,
1421,0,24,1,0,0,Age_Below_TwentyFive,African_American
1422,1,13,1,0,0,Age_Below_TwentyFive,
1423,0,0,0,0,0,Age_Above_FourtyFive,African_American
1424,1,1,1,0,0,Age_Below_TwentyFive,African_American
1425,0,1,0,0,1,Age_Above_FourtyFive,African_American
1426,0,8,0,1,0,Age_Above_FourtyFive,
1427,0,0,1,0,0,Age_Below_TwentyFive,African_American
1428,1,0,1,0,0,Age_Below_TwentyFive,
1429,1,2,1,1,0,Age_Below_TwentyFive,
1430,0,7,0,0,1,Age_Below_TwentyFive,Hispanic
1431,1,3,0,0,1,Age_Below_TwentyFive,Other
1432,0,2,1,0,1,Age_Below_TwentyFive,African_American
1433,0,1,1,0,1,Age_Below_TwentyFive,
1434,1,14,1,0,0,Age_Above_FourtyFive,African_American
1435,0,0,0,0,1,Age_Below_TwentyFive,
1436,1,4,1,0,0,Age_Below_TwentyFive,African_American
1437,1,2,1,1,0,Age_Below_TwentyFive,African_American
1438,1,4,1,1,0,Age_Below_TwentyFive,
1439,0,2,1,0,0,Age_Below_TwentyFive,
1440,1,1,1,1,0,Age_Below_TwentyFive,
1441,1,1,1,0,0,Age_Below_TwentyFive,
1442,1,23,0,0,0,Age_Above_FourtyFive,Other
1443,0,0,0,1,1,Age_Below_TwentyFive,African_American
1444,0,1,0,0,0,Age_Above_FourtyFive,
1445,0,4,0,1,0,Age_Below_TwentyFive,
1446,0,3,1,0,0,Age_Below_TwentyFive,African_American
1447,0,1,0,0,0,Age_Below_TwentyFive,
1448,0,3,0,0,0,Age_Below_TwentyFive,Hispanic
1449,0,5,0,1,0,Age_Below_TwentyFive,Hispanic
1450,1,3,1,0,1,Age_Below_TwentyFive,African_American
1451,1,0,0,0,1,Age_Below_TwentyFive,
1452,0,3,1,1,0,Age_Below_TwentyFive,African_American
1453,0,1,0,0,0,Age_Above_FourtyFive,African_American
1454,0,0,0,1,1,Age_Above_FourtyFive,Hispanic
1455,0,6,0,0,0,Age_Above_FourtyFive,African_American
1456,1,7,1,0,0,Age_Below_TwentyFive,African_American
1457,0,10,1,0,0,Age_Below_TwentyFive,African_American
1458,0,0,0,1,1,Age_Above_FourtyFive,
1459,1,0,0,0,1,Age_Below_TwentyFive,African_American
1460,0,9,1,0,0,Age_Below_TwentyFive,African_American
1461,0,1,0,0,0,Age_Above_FourtyFive,African_American
1462,0,1,0,1,1,Age_Below_TwentyFive,African_American
1463,0,0,0,0,0,Age_Above_FourtyFive,
1464,0,6,0,0,0,Age_Below_TwentyFive,
1465,0,0,0,0,0,Age_Above_FourtyFive,African_American
1466,0,2,1,0,0,Age_Below_TwentyFive,Hispanic
1467,1,27,1,0,0,Age_Below_TwentyFive,African_American
1468,0,3,0,0,0,Age_Below_TwentyFive,African_American
1469,1,7,1,0,1,Age_Below_TwentyFive,African_American
1470,1,1,1,0,0,Age_Below_TwentyFive,
1471,0,8,0,0,0,Age_Below_TwentyFive,African_American
1472,1,0,0,0,0,Age_Above_FourtyFive,African_American
1473,0,8,1,0,0,Age_Below_TwentyFive,African_American
1474,0,4,0,0,0,Age_Above_FourtyFive,
1475,1,15,1,0,0,Age_Above_FourtyFive,African_American
1476,1,7,1,0,0,Age_Below_TwentyFive,
1477,1,7,1,0,0,Age_Below_TwentyFive,
1478,0,0,0,0,1,Age_Below_TwentyFive,
1479,0,0,0,0,1,Age_Below_TwentyFive,African_American
1480,0,0,0,0,1,Age_Below_TwentyFive,Other
1481,0,1,1,0,0,Age_Below_TwentyFive,Hispanic
1482,0,0,0,0,0,Age_Below_TwentyFive,
1483,1,1,0,0,1,Age_Below_TwentyFive,
1484,0,1,0,0,0,Age_Above_FourtyFive,
1485,0,0,0,1,0,Age_Below_TwentyFive,African_American
1486,0,4,0,0,1,Age_Above_FourtyFive,African_American
1487,0,3,1,0,1,Age_Below_TwentyFive,African_American
1488,0,0,0,0,0,Age_Below_TwentyFive,African_American
1489,0,1,0,0,0,Age_Above_FourtyFive,
1490,0,2,0,0,0,Age_Below_TwentyFive,
1491,1,0,1,0,0,Age_Below_TwentyFive,African_American
1492,0,0,1,0,0,Age_Below_TwentyFive,
1493,0,3,0,1,0,Age_Below_TwentyFive,
1494,1,7,1,0,0,Age_Below_TwentyFive,African_American
1495,1,5,1,0,0,Age_Below_TwentyFive,African_American
1496,0,1,0,0,0,Age_Below_TwentyFive,African_American
1497,1,2,0,0,0,Age_Below_TwentyFive,
1498,0,2,1,0,0,Age_Below_TwentyFive,
1499,0,0,0,0,1,Age_Below_TwentyFive,African_American
1500,0,0,0,1,1,Age_Below_TwentyFive,
1501,0,0,1,0,0,Age_Below_TwentyFive,African_American
1502,0,1,0,0,0,Age_Below_TwentyFive,African_American
1503,0,1,0,0,0,Age_Below_TwentyFive,African_American
1504,0,0,0,0,1,Age_Above_FourtyFive,
1505,0,0,1,1,0,Age_Below_TwentyFive,African_American
1506,0,0,0,0,1,Age_Above_FourtyFive,
1507,1,3,0,0,0,Age_Below_TwentyFive,African_American
1508,0,2,0,1,1,Age_Below_TwentyFive,African_American
1509,1,4,0,1,0,Age_Above_FourtyFive,
1510,0,0,0,0,1,Age_Above_FourtyFive,African_American
1511,1,3,0,0,0,Age_Below_TwentyFive,Hispanic
1512,0,2,0,0,0,Age_Below_TwentyFive,African_American
1513,1,0,0,1,0,Age_Above_FourtyFive,
1514,0,0,0,0,0,Age_Below_TwentyFive,African_American
1515,0,3,1,0,0,Age_Above_FourtyFive,African_American
1516,1,0,0,0,0,Age_Below_TwentyFive,African_American
1517,0,5,1,0,1,Age_Below_TwentyFive,African_American
1518,1,0,0,0,0,Age_Below_TwentyFive,
1519,0,4,0,0,1,Age_Below_TwentyFive,
1520,0,1,1,0,1,Age_Above_FourtyFive,Hispanic
1521,1,5,1,0,0,Age_Below_TwentyFive,
1522,1,0,0,1,0,Age_Below_TwentyFive,African_American
1523,1,1,0,0,0,Age_Below_TwentyFive,African_American
1524,0,1,0,0,1,Age_Below_TwentyFive,Hispanic
1525,1,24,1,0,0,Age_Below_TwentyFive,Other
1526,0,12,1,0,0,Age_Below_TwentyFive,Hispanic
1527,1,4,1,0,0,Age_Below_TwentyFive,African_American
1528,1,6,0,0,0,Age_Above_FourtyFive,
1529,0,0,0,0,1,Age_Below_TwentyFive,Asian
1530,0,0,0,0,0,Age_Below_TwentyFive,Hispanic
1531,1,23,1,0,0,Age_Above_FourtyFive,African_American
1532,1,13,1,0,0,Age_Below_TwentyFive,African_American
1533,1,9,1,0,0,Age_Below_TwentyFive,African_American
1534,0,0,0,0,1,Age_Below_TwentyFive,Other
1535,0,0,1,0,0,Age_Below_TwentyFive,
1536,1,1,0,0,1,Age_Above_FourtyFive,
1537,0,0,0,0,1,Age_Below_TwentyFive,
1538,0,7,1,0,1,Age_Below_TwentyFive,African_American
1539,0,5,1,0,0,Age_Below_TwentyFive,African_American
1540,0,2,0,1,0,Age_Above_FourtyFive,Hispanic
1541,0,0,1,0,1,Age_Above_FourtyFive,
1542,1,5,1,0,0,Age_Below_TwentyFive,African_American
1543,0,0,1,1,1,Age_Below_TwentyFive,
1544,0,0,0,0,0,Age_Below_TwentyFive,African_American
1545,0,6,1,0,1,Age_Below_TwentyFive,
1546,0,2,1,0,0,Age_Below_TwentyFive,African_American
1547,1,3,1,0,0,Age_Below_TwentyFive,African_American
1548,0,2,0,0,1,Age_Below_TwentyFive,
1549,0,0,0,1,1,Age_Below_TwentyFive,African_American
1550,1,8,1,0,0,Age_Below_TwentyFive,African_American
1551,1,2,0,0,1,Age_Above_FourtyFive,
1552,0,0,0,1,0,Age_Below_TwentyFive,Other
1553,0,3,0,0,1,Age_Below_TwentyFive,
1554,1,2,1,0,1,Age_Below_TwentyFive,African_American
1555,1,14,1,1,1,Age_Above_FourtyFive,African_American
1556,1,9,1,0,1,Age_Below_TwentyFive,
